Name,Lineitem quantity,Lineitem name,Lineitem sku,Lineitem fulfillment status,Shipping Country
#1114148,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,
#1114148,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114147,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114147,1,I'm Thinking About Books Sweatshirt - Alpine Green / XXL,SWEATSHIRT-THINKINGABOUTBOOKS-GREEN-XXL,pending,
#1114146,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114146,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114145,1,This Machine Kills Fascists Laptop Decal - Black,STICKER-KILLSFASCISTS-BLACK,pending,US
#1114144,1,It Has Pockets! Enamel Pin: Vol. II,PIN-ITHASPOCKETSVOL2,pending,US
#1114144,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114143,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114142,1,Drawtectives: Celestial Spear Poster - Celestial Spear Only,POSTER-DRAWTECTIVESCELESTIALSPEAR,pending,US
#1114142,1,Drawtectives: Alm and All Poster - 3 Poster Bundle,BUNDLE-DRAWFEEPOSTER2022,pending,
#1114142,1,Drawfreaks Baseball Tee - 3XL,SHIRT-DRAWFREAKSBASEBALL-3XL,pending,
#1114141,2,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114140,1,Map of Fundamental Particles Poster,POSTER-MAPOFFUNDAMENTALPARTICLES,pending,US
#1114139,1,Bizarre Beasts Sticker Pack - Vol. 1,STICKER-BIZARREBEASTS-VOL1,pending,US
#1114138,1,Imposter Crab Enamel Pin,PIN-IMPOSTERCRAB,pending,US
#1114137,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114136,1,Lucky Penny - Standard Edition - Signed,BUNDLE-LUCKYPENNY-STD-SIGNED,pending,US
#1114135,1,Cicada Plushie,PLUSH-CICADA,pending,US
#1114135,1,Pitcher Plant Backpack,BACKPACK-PITCHERPLANT,pending,
#1114134,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114133,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,US
#1114132,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114131,1,Drawfee Logo Hoodie - L,HOODIE-DRAWFEELOGO-L,pending,CA
#1114130,1,Map of Quantum Computing Poster,POSTER-QUANTUMCOMPUTING,pending,US
#1114129,1,2D Glasses,MISC-2DGLASSES,pending,US
#1114128,1,JoCo Cruise 2023 Shirt - UNI / M,SHIRT-JOCOCRUISE2023-UNI-M,pending,US
#1114128,1,JoCo Cruise 2023 Figures Pin,PIN-JOCO2023-FIGURES,pending,
#1114128,1,JoCo Cruise 2023 Kraken Pin,PIN-JOCO2023-KRAKEN,pending,
#1114128,1,JoCo Cruise 2023 Shirt - CURVED / XL,SHIRT-JOCOCRUISE2023-CURVED-XL,pending,
#1114127,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114127,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114126,2,This Is Love Mug,MUG-THISISLOVE,pending,US
#1114125,1,BTSWTW Bimonthly Pin  - Morality Never Goes Out Of Style (Jan) - Pin Only,PIN-BTSWTWPOTM-MORALITY-0123,pending,US
#1114124,1,Anchor EP on Vinyl,RECORD-ANCHOREP,pending,DE
#1114124,1,First of October Special Edition Cassette Tape,MISC-CASSETTEFIRSTOFOCT,pending,
#1114123,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,US
#1114122,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114121,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114121,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,
#1114119,1,JoCo Cruise 2023 Shirt - UNI / XXL,SHIRT-JOCOCRUISE2023-UNI-XXL,pending,US
#1114118,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,GB
#1114117,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,US
#1114116,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114116,1,Eleanor and Park Kiss Poster *Signed Version Available* - Signed,POSTER-ELEANORPARKKISS-SIGNED,pending,
#1114115,1,Drawfee Quote Sticker Sheet Set,STICKER-DRAWFEEQUOTE,pending,IL
#1114115,1,Drawfee Quote Postcard Set,POSTCARD-DRAWFEEQUOTE,pending,
#1114115,1,Drawfee Sticker Sheet,STICKER-DRAWFEE,pending,
#1114115,1,Drawtectives Sticker Sheet,STICKER-CELESTIALSPEARSHEET,pending,
#1114115,1,Neusday Sticker Sheet,STICKER-NEUSDAYSHEET,pending,
#1114115,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,
#1114114,1,CrashCourse Psychology Poster,POSTER-CCPSYCHOLOGY,pending,US
#1114113,1,"Check, Please! Character Charm - Jack",CHARM-CHECKPLEASE-JACK,pending,US
#1114113,1,"Check, Please! Character Charm - Bitty",CHARM-CHECKPLEASE-BITTY,pending,
#1114112,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,CA
#1114111,2,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,US
#1114110,1,Barbarous Chapter 4 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS4-LEEDS-UNSIGNED,pending,US
#1114110,1,Barbarous Chapter 3 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS3-LEEDS-UNSIGNED,pending,
#1114110,1,Barbarous Chapter 2 - Leeds-Sized Edition - Unsigned,BOOK-BARBAROUS2-LEEDS-UNSIGNED,pending,
#1114110,1,Barbarous Chapter 1 - Leeds-Sized Edition - Signed,BOOK-BARBAROUS1-LEEDS-SIGNED,pending,
#1114109,1,Triangle Pin,PIN-VITRIANGLE,pending,US
#1114109,1,Serengeti Enamel Pins Bundle,BUNDLE-SERENGETIPINS,pending,
#1114109,1,Mathematical Quotebook Notebook,NOTEBOOK-MATHEMATICALQUOTEBOOK,pending,
#1114108,1,Mystery Shirts - UNISEX / L,SHIRT-MYSTERY-L,pending,US
#1114106,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Cork Pin Board Bundle,BUNDLE-SCISHOWBOARD0123,pending,US
#1114104,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114103,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114102,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114102,1,Mathematics Notation Cheat Sheet Poster,POSTER-MATHNOTATIONCHEATSHEET,pending,
#1114102,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,
#1114101,1,Map of Quantum Computing Poster,POSTER-QUANTUMCOMPUTING,pending,GB
#1114101,1,Map of Quantum Physics Poster,POSTER-MAPOFQUANTOMPHYSICS,pending,
#1114099,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114098,1,Mathematical Quotebook Notebook,NOTEBOOK-MATHEMATICALQUOTEBOOK,pending,US
#1114096,1,Juno Steel and the Man in Glass,POSTER-JSMANINGLASS,pending,US
#1114095,1,SHORT 3Blue1Brown Pi Plushie,PLUSH-3B1B-SHORT,pending,FR
#1114093,1,Drawfee Mug,MUG-DRAWFEE,pending,US
#1114093,1,Drawfreaks Baseball Tee - S,SHIRT-DRAWFREAKSBASEBALL-S,pending,
#1114092,1,TALL 3Blue1Brown Pi Plushie,PLUSH-3B1B-TALL,pending,US
#1114091,1,I'm Phoebe Judge Shirt - S,SHIRT-IMPHOEBE-S,pending,AU
#1114090,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114089,1,I'm Thinking About Books Sweatshirt - Alpine Green / M,SWEATSHIRT-THINKINGABOUTBOOKS-GREEN-M,pending,IE
#1114088,1,Dr. Dinosaur's FOOOD Decal (Clear),STICKER-DRDINOSAURFOOOD,pending,US
#1114088,1,Tesladyne Mystery Shirts - XXL,SHIRT-TESLADYNEMYSTERY-XXL,pending,
#1114087,1,Dr. Dinosaur’s BIG STICKER SHEET,STICKER-DRDINOSHEET,pending,US
#1114085,1,Watford Crest Sweatshirt - XL,SWEATSHIRT-WATFORDCREST-XL,pending,US
#1114085,1,Watford Jersey Shirt - XL,SHIRT-WATFORDJERSEY-XL,pending,
#1114083,1,Mashed Potato Enamel Pin,PIN-MASHEDPOTATO,pending,US
#1114082,1,Chirpbook - Softcover,BOOK-CHIRPBOOK-SC,pending,US
#1114081,1,Skull Hoodie - XS,HOODIE-TMGWSKULL-XS,pending,US
#1114080,1,The Anthropocene Reviewed Book + Vinyl Bundle,BUNDLE-TARBV,pending,US
#1114080,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1114079,3,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114078,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114077,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114076,1,Drawtectives Enamel Pin,PIN-DRAWTECTIVES,pending,US
#1114076,1,Drawtectives: Moon Hoot Poster - 3 Poster Bundle,BUNDLE-DRAWFEEPOSTER2022,pending,
#1114076,1,Drawtectives Sketch Book & Notepad - Notebook - Smaller / Lined Pages,NOTEBOOK-DRAWTECTIVES,pending,
#1114075,1,Mashed Potato Enamel Pin,PIN-MASHEDPOTATO,pending,CA
#1114074,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114073,1,Dr. Dinosaur’s BIG STICKER SHEET,STICKER-DRDINOSHEET,pending,AU
#1114073,1,Atomic Robo And Dr. Dinosaur Character Standees - Atomic Robo And Dr. Dinosaur Character Standee Bundle,BUNDLE-ATOMICROBODRDINOSTANDEE,pending,
#1114071,1,Mashed Potato Enamel Pin,PIN-MASHEDPOTATO,pending,AU
#1114069,50,Donation to Partners In Health Sierra Leone - Round up,,pending,US
#1114069,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114068,1,Mathematical Quotebook Notebook,NOTEBOOK-MATHEMATICALQUOTEBOOK,pending,US
#1114067,1,Drawtectives: Alm and All Poster - Alm and All,POSTER-ALMANDALL,pending,US
#1114067,1,Drawfee Enamel Pin,PIN-DRAWFEE,pending,
#1114067,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,
#1114067,1,Drawtectives Enamel Pin,PIN-DRAWTECTIVES,pending,
#1114066,1,Mystery Shirts - UNISEX / XXL,SHIRT-MYSTERY-XXL,pending,US
#1114066,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,
#1114066,1,DFTBA Mystery Sweatshirt - UNI / S,SWEATSHIRT-DFTBAMYSTERY-S,pending,
#1114065,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114064,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114063,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Cork Pin Board Bundle,BUNDLE-SCISHOWBOARD0123,pending,US
#1114062,1,Map Of Computer Science Poster,POSTER-MAPOFCOMPUTERSCIENCE,pending,US
#1114061,50,Donation to Partners In Health Sierra Leone - Round up,,pending,US
#1114061,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114060,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Cork Pin Board Bundle,BUNDLE-SCISHOWBOARD0123,pending,US
#1114058,1,JoCo Cruise 2023 Shirt - UNI / 5XL,SHIRT-JOCOCRUISE2023-UNI-5XL,pending,US
#1114054,2,Fourier Series Socks - M,SOCKS-FOURIERSERIES-M,pending,CA
#1114053,1,Lumos Vinyl,RECORD-LUMOS,pending,CA
#1114052,1,To Be Read Tote,TOTE-TOBEREAD,pending,CA
#1114051,2,Happy Reading Book Darts - Happy Reading,MISC-MMDBOOKDART-HAPPYREADING,pending,US
#1114050,1,Drawfee Quote Sticker Sheet Set,STICKER-DRAWFEEQUOTE,pending,US
#1114049,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114048,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114048,1,This Machine Kills Fascists Laptop Decal - Black,STICKER-KILLSFASCISTS-BLACK,pending,
#1114047,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114046,1,Drawtectives Enamel Pin,PIN-DRAWTECTIVES,pending,DE
#1114045,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,CA
#1114043,1,Hexagons T-Shirt - Asphalt / S,SHIRT-HEXAGONS-ASPHALT-S,pending,US
#1114040,1,GreyBots Plushie,PLUSH-GREYBOT,pending,GB
#1114039,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114038,1,Cicada Plushie,PLUSH-CICADA,pending,US
#1114038,1,Pitcher Plant Backpack,BACKPACK-PITCHERPLANT,pending,
#1114037,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114037,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,
#1114036,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,DE
#1114034,1,Drawfee Mug,MUG-DRAWFEE,pending,US
#1114033,2,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114032,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1114031,1,BTSWTW Bimonthly Pin  - Morality Never Goes Out Of Style (Jan) - Pin Only,PIN-BTSWTWPOTM-MORALITY-0123,pending,US
#1114030,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1114029,1,Drawtectives Enamel Pin,PIN-DRAWTECTIVES,pending,DE
#1114029,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,
#1114029,1,Drawtectives: Alm and All Poster - 3 Poster Bundle,BUNDLE-DRAWFEEPOSTER2022,pending,
#1114028,1,Code Shirt - Black / 3XL,SHIRT-CODE-BLACK-3XL,pending,DE
#1114028,1,Code Hoodie - bone / 3XL,HOODIE-CODE-BONE-3XL,pending,
#1114027,1,NileRed Molecule Keychain,KEYCHAIN-NILREDMOLECULE,pending,CH
#1114026,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1114025,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,DE
#1114025,1,Map of Biology Poster,POSTER-MAPOFBIOLOGY,pending,
#1114024,1,The Ginger Runner Logo Hoodie - L,HOODIE-GINGERRUNNERLOGO-L,pending,US
#1114024,2,Mathematical Quotebook Notebook,NOTEBOOK-MATHEMATICALQUOTEBOOK,pending,
#1114023,1,Drawfee Mug,MUG-DRAWFEE,pending,US
#1114022,1,Emily Graslie Print - Signed,PRINT-BBGRASLIE,pending,US
#1114021,1,CGP Grey Coffee - -,SUB-CGPCOFFEE,pending,NO
#1114020,1,BTSWTW Bimonthly Pin  - Morality Never Goes Out Of Style (Jan) - Pin Only,PIN-BTSWTWPOTM-MORALITY-0123,pending,US
#1114019,1,Watford Crest Sweatshirt - S,SWEATSHIRT-WATFORDCREST-S,pending,DE
#1114018,1,Drawfee Quote Sticker Sheet Set,STICKER-DRAWFEEQUOTE,pending,US
#1114018,1,Drawfreaks Baseball Tee - M,SHIRT-DRAWFREAKSBASEBALL-M,pending,
#1114017,1,"Always Read the Plaque Decal (4"" Blue)",STICKER-READTHEPLAQUE-BLUE,pending,US
#1114016,1,Noble Blood Crewneck - M,SWEATSHIRT-NOBLEBLOODLOGO-M,pending,US
#1114015,1,I am Unstoppable Shirt - Blue / Adult XL,SHIRT-UNSTOPPABLE-BLUE-ADULT-XL,pending,US
#1114014,60,Donation to Partners In Health Sierra Leone - Round up,,pending,US
#1114014,1,CrashCourse Chemistry Periodic Table of the Elements,POSTER-CCCHEMISTRYPERIODIC,pending,
#1114014,1,Snatoms X Complete Kit,MISC-SNATOMSX,pending,
#1114013,1,Skull Sweatshirt - Grey / 4XL,SWEATSHIRT-SKULL-GREY-4XL,pending,US
#1114012,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,AU
#1114011,1,Eons False Crab Puzzle,PUZZLE-EONS,pending,US
#1114010,10,Donation to Partners In Health Sierra Leone - Round up,,pending,US
#1114010,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,
#1114010,1,Drawfee Logo Hoodie - M,HOODIE-DRAWFEELOGO-M,pending,
#1114009,1,The Donut Of Knowledge Poster,POSTER-DONUTOFKNOWLEDGE,pending,DE
#1114009,1,Map Of Computer Science Poster,POSTER-MAPOFCOMPUTERSCIENCE,pending,
#1114009,1,Map of Quantum Computing Poster,POSTER-QUANTUMCOMPUTING,pending,
#1114009,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,
#1114005,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1114005,1,Mystery Shirts - UNISEX / L,SHIRT-MYSTERY-L,pending,
#1114005,1,DFTBA Mystery Sweatshirt - UNI / XL,SWEATSHIRT-DFTBAMYSTERY-XL,pending,
#1114005,1,Shop Local Bookstores Shirt - M,SHIRT-SHOPLOCAL-M,pending,
#1114005,1,Valleyfolk Mystery Shirt - Unisex / L,SHIRT-VALLEYFOLKMYSTERY-L,pending,
#1114004,1,Huddle! Vol. 3,BOOK-HUDDLEVOL3,pending,US
#1114004,1,Huddle! Vol. 2,BOOK-HUDDLEVOL2,pending,
#1114003,1,Libro.fm Sweatshirt - XL,SWEATSHIRT-LIBROFM-XL,pending,US
#1114000,1,Tolarian Community College Unisex Logo Shirt - Black on Maroon / M,SHIRT-TCCLOGO-UNI-MAROON-M,pending,US
#1113999,1,Invisible Beetle Shirt - XXL,SHIRT-INVISIBEETLE-XXL,pending,US
#1113997,1,Snake Foil Printed Shirt - Unisex / XL,SHIRT-SNAKEFOIL-UNI-XL,pending,US
#1113995,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1113993,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
#1113991,1,Not Drunk Enough V2! - Regular Edition,BOOK-NOTDRUNKENOUGHV2-REGULAR,pending,US
#1113991,1,Not Drunk Enough V1 - Unsigned,BOOK-NOTDRUNKENOUGHV1-UNSIGNED,pending,
#1113990,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1113989,1,Watford Sport Hoodie - XXL,HOODIE-WATFORDSPORT-XXL,pending,CA
#1113989,1,Because We Match Shirt - XXL,SHIRT-WEMATCH-XXL,pending,
#1113989,1,Watford Crest Enamel Pin,PIN-WATFORDCREST,pending,
#1113988,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1113987,1,Drawfreaks Baseball Tee - 3XL,SHIRT-DRAWFREAKSBASEBALL-3XL,pending,US
#1113986,1,Drawfee Logo Hoodie - M,HOODIE-DRAWFEELOGO-M,pending,US
#1113985,1,The Anthropocene Reviewed Decal,STICKER-ANTROPOCENE,pending,AU
#1113985,1,Pizza John Sticker Packs - 2019,PJ-STICKERPACK-2019,pending,
#1113985,1,Mathematical Quotebook Notebook,NOTEBOOK-MATHEMATICALQUOTEBOOK,pending,
#1113984,1,Snake Foil Printed Shirt - Unisex / L,SHIRT-SNAKEFOIL-UNI-L,pending,US
#1113982,1,NileRed Molecule Keychain,KEYCHAIN-NILREDMOLECULE,pending,CA
#1113980,1,Map of Quantum Computing Poster,POSTER-QUANTUMCOMPUTING,pending,US
#1113980,1,Map of Superconductivity Poster,POSTER-MAPOFSUPERCONDUCTIVITY,pending,
#1113980,1,Map of Physics Poster,POSTER-MAPOFPHYSICS,pending,
#1113980,1,Map Of Computer Science Poster,POSTER-MAPOFCOMPUTERSCIENCE,pending,
#1113980,20,Donation to Partners In Health Sierra Leone - Round up,,pending,
#1113980,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,
#1113979,1,Real-Life Unicorns Sticker Pack,STICKER-REALLIFEUNICORNS,pending,US
#1113979,1,Tokyo Washi Tape,MISC-TOKYOWASHITAPE,pending,
#1113979,1,Bizarre Beasts Pin Subscription!,SUB-BIZARREBEASTS,pending,
#1113978,1,Donation to Partners In Health Sierra Leone - $1.00 donation,,pending,US
#1113978,3,Mystery Shirts - UNISEX / 3XL,SHIRT-MYSTERY-3XL,pending,
#1113977,1,SciShow Pin Of The Month: Atlas Rocket - Jan - Pin Only,PIN-SCISHOWPOTM-ATLASROCKET-0123,pending,US
#1113976,1,Jacob Horse Plushie,PLUSHIE-JACOBHORSE,pending,US
#1113975,1,House Tools Enamel Pins - House,PIN-HOUSETOOLS-HOUSE,pending,US
#1113975,1,I'm Thinking About Books Sweatshirt - Alpine Green / XL,SWEATSHIRT-THINKINGABOUTBOOKS-GREEN-XL,pending,
#1113972,2,DFTBA Mystery Sweatshirt - UNI / M,SWEATSHIRT-DFTBAMYSTERY-M,pending,US
#1113971,1,The Map of Engineering Poster,POSTER-MAPOFENGINEERING,pending,US
